
amount,blockNumber,blockTimestamp,tokenAddress,transactionHash,from.addresses,to.addresses
1.5692998045659264e+20,17254756,2023-05-14T01:01:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xf2c1d56d10bf97e1bf6b9033593ecbbd7f35b48ebdf92501ed5d012a5be2f430,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x94fbc7cecb1d7c9b6070077268dc8239a10f3b8e
3.041783500877298e+20,17253998,2023-05-13T22:26:59Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x265cf017d371425eac21d88b8000b3300ae81b058971f28b584d1aa4ed584f1c,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x4fdec6a133c873e5fba5f101f7426be1488bf571
7.913931037398845e+20,17253792,2023-05-13T21:44:59Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xeb9489480b0f16d504d2c5ea95cbd4af28ce600a7fdf91b4459a46abb31bc8d0,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xf63f5fcc54f5fd11f3c098053f330e032e4d9259
1.5072572466828631e+22,17253310,2023-05-13T20:06:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x0ef280129377b3188480e62b4e1fd3c46ea4aae288af50b2b01b42349c5256f2,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x78e96be52e38b3fc3445a2ed34a6e586ffab9631
6.30237483650711e+19,17252124,2023-05-13T16:06:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x777d58aa1725f9774e5e09716e77414d4a193483385b10ee371e1cd8d5339dd7,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x5e5332599de4963d42d3cd9140fd86f51a1e3304
2.5319709845046385e+20,17251828,2023-05-13T15:05:59Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x2f07e37964df40d32afbb63f668c0137284c76ead754acf87c548b09da4fa2e0,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x95715f56d9faf221a848ca6da11bc603c53dc95e
2.895940129394533e+20,17250559,2023-05-13T10:48:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xea46851b2df145d5d2487fe9dee127c01eef196e0604bf1f8378f910354114c5,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x8bf675b7d0b701849eaa306affa55e36a308257d
2.5841424576535785e+19,17249618,2023-05-13T07:36:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x582e0bb54ab5d5882dc01e3bf8e79acb55e667d8f19692063c71dd4e05ae3d6e,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xdcb7c03c06fde7976de5d179b44e8367942fb8d5
7.048605497295416e+19,17249610,2023-05-13T07:34:35Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xaf5cc66a1a2745862ea063bdf63615c19327171b6ec9899b185ad270988804d9,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x66e6c15af7eddfe8ce58351b46cb1a329486c195
3.5711748383073685e+20,17249556,2023-05-13T07:23:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xa22b117617662f63d818f110683153ccf2a3fee6c5d764b4607a448256db2c76,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xa938ca686c05c9b0839875d924b12704767f1715
4.581946454689192e+20,17245664,2023-05-12T17:55:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xe4523e7a662ebb0164ed46aa534366f10444fc607d334cf6bad89e7daf385bd8,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xcc202930867769a83b61cf5053b65d1845e76aea
3.4103016873033978e+19,17243769,2023-05-12T11:15:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xb47bf3cf7b69ef8b8a734b4c97abfed3283efd8fedc149a59f9c3cc756c53546,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x4abc7ae904e8cc47392826111410d7b1d25aa1ab
4.346894535233454e+19,17242989,2023-05-12T08:36:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x96d4bbda495e21b5879a060441f3b71e16d160ad154fc588b54f001b0db7a797,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xa4f4406d3dc6482db1397d0ad260fd223c8f37fc
